Order_ID,Order_Date,Region,Category,Product,Sales,Profit,Quantity,Ship_Days,Year,Month
1001,2024-01-01,East,Office Supplies,Mobile,43923,9405,7,7,2024,1
1002,2024-01-02,West,Furniture,Mobile,42192,4875,4,4,2024,1
1003,2024-01-03,North,Office Supplies,Chair,10440,8797,9,8,2024,1
1004,2024-01-04,East,Office Supplies,Chair,4424,6098,9,9,2024,1
1005,2024-01-05,East,Electronics,Pen,28554,3711,2,3,2024,1
1006,2024-01-06,West,Electronics,Mobile,10283,9993,6,5,2024,1
1007,2024-01-07,North,Office Supplies,Notebook,37753,2991,4,4,2024,1
1008,2024-01-08,North,Electronics,Mobile,45897,7117,8,6,2024,1
1009,2024-01-09,East,Furniture,Chair,13733,5141,7,4,2024,1
1010,2024-01-10,South,Furniture,Notebook,46169,1651,7,8,2024,1
1011,2024-01-11,East,Electronics,Laptop,24984,1530,9,3,2024,1
1012,2024-01-12,East,Furniture,Laptop,25568,6280,5,5,2024,1
1013,2024-01-13,East,Electronics,Table,691,9344,6,1,2024,1
1014,2024-01-14,East,Office Supplies,Chair,25574,3326,1,6,2024,1
1015,2024-01-15,West,Office Supplies,Table,5417,6497,6,5,2024,1
1016,2024-01-16,North,Furniture,Notebook,39099,5549,2,8,2024,1
1017,2024-01-17,West,Electronics,Chair,26332,6323,6,9,2024,1
1018,2024-01-18,West,Electronics,Pen,43428,1349,9,8,2024,1
1019,2024-01-19,West,Furniture,Mobile,21206,5868,8,8,2024,1
1020,2024-01-20,East,Office Supplies,Pen,14182,6751,9,3,2024,1
1021,2024-01-21,South,Furniture,Notebook,27262,5044,8,4,2024,1
1022,2024-01-22,North,Office Supplies,Chair,23883,7539,3,4,2024,1
1023,2024-01-23,South,Electronics,Notebook,28296,9777,8,5,2024,1
1024,2024-01-24,West,Office Supplies,Mobile,24166,8319,6,9,2024,1
1025,2024-01-25,West,Furniture,Laptop,26162,2881,6,9,2024,1
1026,2024-01-26,South,Electronics,Laptop,45659,2771,6,1,2024,1
1027,2024-01-27,South,Furniture,Notebook,35142,1582,3,8,2024,1
1028,2024-01-28,South,Furniture,Table,42330,8479,1,1,2024,1
1029,2024-01-29,West,Office Supplies,Chair,38031,5303,4,2,2024,1
1030,2024-01-30,West,Furniture,Chair,10734,2046,6,7,2024,1
1031,2024-01-31,North,Office Supplies,Laptop,9721,5361,2,8,2024,1
1032,2024-02-01,North,Electronics,Pen,11910,327,7,1,2024,2
1033,2024-02-02,West,Office Supplies,Mobile,15019,3139,7,3,2024,2
1034,2024-02-03,South,Electronics,Pen,1551,573,4,7,2024,2
1035,2024-02-04,South,Office Supplies,Pen,45493,4325,4,9,2024,2
1036,2024-02-05,North,Furniture,Notebook,10265,5415,1,8,2024,2
1037,2024-02-06,West,Office Supplies,Laptop,11882,3172,2,8,2024,2
1038,2024-02-07,North,Office Supplies,Laptop,13080,8217,9,9,2024,2
1039,2024-02-08,North,Electronics,Laptop,32823,5240,8,3,2024,2
1040,2024-02-09,East,Furniture,Notebook,45257,4625,8,8,2024,2
1041,2024-02-10,East,Office Supplies,Table,12439,7777,9,1,2024,2
1042,2024-02-11,East,Furniture,Pen,30464,1847,7,8,2024,2
1043,2024-02-12,South,Office Supplies,Notebook,807,2181,9,7,2024,2
1044,2024-02-13,West,Office Supplies,Chair,3859,7372,2,8,2024,2
1045,2024-02-14,West,Furniture,Mobile,30148,6550,6,1,2024,2
1046,2024-02-15,West,Office Supplies,Table,36444,865,3,6,2024,2
1047,2024-02-16,West,Furniture,Chair,34519,8684,6,7,2024,2
1048,2024-02-17,East,Office Supplies,Pen,38634,6716,3,5,2024,2
1049,2024-02-18,South,Electronics,Laptop,27823,192,8,5,2024,2
1050,2024-02-19,South,Furniture,Pen,6726,1460,4,7,2024,2
1051,2024-02-20,East,Office Supplies,Notebook,22189,584,6,3,2024,2
1052,2024-02-21,South,Office Supplies,Mobile,31471,9958,9,6,2024,2
1053,2024-02-22,East,Electronics,Notebook,26454,3414,2,7,2024,2
1054,2024-02-23,West,Furniture,Table,24923,1082,2,1,2024,2
1055,2024-02-24,East,Office Supplies,Table,30891,3392,7,2,2024,2
1056,2024-02-25,West,Electronics,Mobile,14830,9652,2,4,2024,2
1057,2024-02-26,West,Office Supplies,Chair,5391,6135,2,8,2024,2
1058,2024-02-27,North,Furniture,Chair,5492,4550,4,6,2024,2
1059,2024-02-28,East,Office Supplies,Table,2461,1222,9,1,2024,2
1060,2024-02-29,North,Office Supplies,Table,12997,9130,8,5,2024,2
1061,2024-03-01,East,Office Supplies,Laptop,33051,4567,2,7,2024,3
1062,2024-03-02,East,Office Supplies,Chair,11348,8057,8,6,2024,3
1063,2024-03-03,North,Electronics,Mobile,13755,1691,4,9,2024,3
1064,2024-03-04,North,Electronics,Chair,5067,521,2,8,2024,3
1065,2024-03-05,East,Furniture,Laptop,49347,2990,7,4,2024,3
1066,2024-03-06,South,Electronics,Notebook,39781,8788,6,5,2024,3
1067,2024-03-07,West,Electronics,Table,48503,4776,5,7,2024,3
1068,2024-03-08,North,Furniture,Table,20889,7720,1,8,2024,3
1069,2024-03-09,West,Electronics,Laptop,45023,3773,2,5,2024,3
1070,2024-03-10,South,Electronics,Mobile,44419,413,8,9,2024,3
1071,2024-03-11,South,Furniture,Table,17067,3359,1,4,2024,3
1072,2024-03-12,South,Furniture,Pen,3858,595,3,4,2024,3
1073,2024-03-13,North,Furniture,Table,23499,3290,2,8,2024,3
1074,2024-03-14,South,Office Supplies,Pen,42858,6715,5,1,2024,3
1075,2024-03-15,North,Office Supplies,Laptop,11488,1986,4,8,2024,3
1076,2024-03-16,South,Furniture,Laptop,40946,9204,7,5,2024,3
1077,2024-03-17,West,Furniture,Table,32021,932,5,1,2024,3
1078,2024-03-18,West,Furniture,Chair,6198,3890,8,4,2024,3
1079,2024-03-19,East,Office Supplies,Pen,1773,6973,4,2,2024,3
1080,2024-03-20,West,Office Supplies,Mobile,28043,9112,6,4,2024,3
1081,2024-03-21,East,Electronics,Table,31849,4661,4,8,2024,3
